solving instance knapsack 200 8 sincos
feasible solution found by trivial heuristic after 0.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       200 del vars, 400 del conss, 0 add conss, 200 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       200 del vars, 400 del conss, 0 add conss, 400 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (3 rounds: 3 fast, 1 medium, 1 exhaustive):
 200 deleted vars, 400 deleted constraints, 0 added constraints, 400 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 400 variables (0 bin, 0 int, 0 impl, 400 cont) and 201 constraints
      1 constraints of type <linear>
    200 constraints of type <nonlinear>
Presolving Time: 0.03

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  143s|  5900 |  5901 |150840 |  25.3 |    65M |  29 |1400 | 201 |1113 | 102k|  7 |   0 |   0 |-7.265672e+03 |-6.494132e+03 |  11.88%| unknown
  145s|  6000 |  6001 |153400 |  25.3 |    66M |  29 |1400 | 201 |1090 | 103k|  6 |   0 |   0 |-7.265672e+03 |-6.494132e+03 |  11.88%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  148s|  6100 |  6101 |156678 |  25.4 |    66M |  29 |1400 | 201 |1055 | 105k|  7 |   0 |   0 |-7.265581e+03 |-6.494132e+03 |  11.88%| unknown
  150s|  6200 |  6201 |159124 |  25.4 |    66M |  29 |1400 | 201 |1102 | 107k|  7 |   0 |   0 |-7.265220e+03 |-6.494132e+03 |  11.87%| unknown
  153s|  6300 |  6301 |161964 |  25.5 |    66M |  29 |1400 | 201 |1158 | 109k|  7 |   0 |   0 |-7.265089e+03 |-6.494132e+03 |  11.87%| unknown
  155s|  6400 |  6401 |165142 |  25.6 |    67M |  29 |1400 | 201 |1198 | 111k|  3 |   0 |   0 |-7.264759e+03 |-6.494132e+03 |  11.87%| unknown
  158s|  6500 |  6501 |167918 |  25.6 |    69M |  31 |1400 | 201 |1105 | 113k|  3 |   0 |   0 |-7.264173e+03 |-6.494132e+03 |  11.86%| unknown
  160s|  6600 |  6601 |170618 |  25.6 |    69M |  31 |1400 | 201 |1187 | 114k|  6 |   0 |   0 |-7.264173e+03 |-6.494132e+03 |  11.86%| unknown
  163s|  6700 |  6701 |173717 |  25.7 |    69M |  31 |1400 | 201 |1057 | 116k|  3 |   0 |   0 |-7.263806e+03 |-6.494132e+03 |  11.85%| unknown
  165s|  6800 |  6801 |176432 |  25.7 |    69M |  31 |1400 | 201 |1100 | 118k|  5 |   0 |   0 |-7.263063e+03 |-6.494132e+03 |  11.84%| unknown
  168s|  6900 |  6901 |179740 |  25.8 |    69M |  31 |1400 | 201 |1176 | 121k|  6 |   0 |   0 |-7.263063e+03 |-6.494132e+03 |  11.84%| unknown
  171s|  7000 |  7001 |183361 |  26.0 |    71M |  31 |1400 | 201 |1079 | 123k|  7 |   0 |   0 |-7.262958e+03 |-6.494132e+03 |  11.84%| unknown
  174s|  7100 |  7101 |186184 |  26.0 |    73M |  31 |1400 | 201 |1131 | 125k|  3 |   0 |   0 |-7.262786e+03 |-6.494132e+03 |  11.84%| unknown
  176s|  7200 |  7201 |188785 |  26.0 |    73M |  31 |1400 | 201 |1163 | 126k|  7 |   0 |   0 |-7.262471e+03 |-6.494132e+03 |  11.83%| unknown
  178s|  7300 |  7301 |192075 |  26.1 |    73M |  31 |1400 | 201 |1157 | 128k|  3 |   0 |   0 |-7.261992e+03 |-6.494132e+03 |  11.82%| unknown
  181s|  7400 |  7401 |195203 |  26.2 |    74M |  31 |1400 | 201 |1145 | 130k|  7 |   0 |   0 |-7.261992e+03 |-6.494132e+03 |  11.82%| unknown
  183s|  7500 |  7501 |197756 |  26.2 |    75M |  31 |1400 | 201 |1152 | 132k|  8 |   0 |   0 |-7.261954e+03 |-6.494132e+03 |  11.82%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  186s|  7600 |  7601 |201389 |  26.3 |    76M |  31 |1400 | 201 |1178 | 134k|  7 |   0 |   0 |-7.261313e+03 |-6.494132e+03 |  11.81%| unknown
  188s|  7700 |  7701 |203731 |  26.3 |    76M |  31 |1400 | 201 |1066 | 136k|  3 |   0 |   0 |-7.261190e+03 |-6.494132e+03 |  11.81%| unknown
  191s|  7800 |  7801 |206200 |  26.2 |    77M |  31 |1400 | 201 |1068 | 138k|  7 |   0 |   0 |-7.261190e+03 |-6.494132e+03 |  11.81%| unknown
  193s|  7900 |  7901 |208757 |  26.2 |    77M |  31 |1400 | 201 |1066 | 139k|  7 |   0 |   0 |-7.260775e+03 |-6.494132e+03 |  11.81%| unknown
  196s|  8000 |  8001 |211614 |  26.3 |    78M |  31 |1400 | 201 |1152 | 141k|  6 |   0 |   0 |-7.260699e+03 |-6.494132e+03 |  11.80%| unknown
  198s|  8100 |  8101 |214298 |  26.3 |    78M |  31 |1400 | 201 |1084 | 143k|  7 |   0 |   0 |-7.259944e+03 |-6.494132e+03 |  11.79%| unknown
  201s|  8200 |  8201 |217012 |  26.3 |    79M |  31 |1400 | 201 |1115 | 145k|  3 |   0 |   0 |-7.259944e+03 |-6.494132e+03 |  11.79%| unknown
  203s|  8300 |  8301 |218910 |  26.2 |    79M |  31 |1400 | 201 |1072 | 146k|  3 |   0 |   0 |-7.259944e+03 |-6.494132e+03 |  11.79%| unknown
  205s|  8400 |  8401 |221252 |  26.2 |    79M |  31 |1400 | 201 |1079 | 148k|  5 |   0 |   0 |-7.258934e+03 |-6.494132e+03 |  11.78%| unknown
  208s|  8500 |  8501 |224134 |  26.2 |    79M |  31 |1400 | 201 |1127 | 150k|  3 |   0 |   0 |-7.258934e+03 |-6.494132e+03 |  11.78%| unknown
  210s|  8600 |  8601 |226798 |  26.2 |    79M |  31 |1400 | 201 |1065 | 152k|  6 |   0 |   0 |-7.258140e+03 |-6.494132e+03 |  11.76%| unknown
  212s|  8700 |  8701 |229032 |  26.2 |    80M |  31 |1400 | 201 |1089 | 154k|  3 |   0 |   0 |-7.258135e+03 |-6.494132e+03 |  11.76%| unknown
  215s|  8800 |  8801 |231384 |  26.1 |    81M |  31 |1400 | 201 |1110 | 155k|  7 |   0 |   0 |-7.258135e+03 |-6.494132e+03 |  11.76%| unknown
  217s|  8900 |  8901 |234313 |  26.2 |    82M |  31 |1400 | 201 |1159 | 157k|  6 |   0 |   0 |-7.257600e+03 |-6.494132e+03 |  11.76%| unknown
  220s|  9000 |  9001 |236775 |  26.1 |    82M |  31 |1400 | 201 |1092 | 159k|  7 |   0 |   0 |-7.257600e+03 |-6.494132e+03 |  11.76%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  222s|  9100 |  9101 |239538 |  26.2 |    83M |  31 |1400 | 201 |1131 | 161k|  9 |   0 |   0 |-7.257120e+03 |-6.494132e+03 |  11.75%| unknown
  225s|  9200 |  9201 |242001 |  26.1 |    83M |  31 |1400 | 201 |1213 | 162k| 11 |   0 |   0 |-7.257120e+03 |-6.494132e+03 |  11.75%| unknown
  227s|  9300 |  9301 |245113 |  26.2 |    85M |  32 |1400 | 201 |1178 | 164k|  6 |   0 |   0 |-7.256770e+03 |-6.494132e+03 |  11.74%| unknown
  230s|  9400 |  9401 |247306 |  26.1 |    85M |  32 |1400 | 201 |1108 | 166k|  7 |   0 |   0 |-7.256624e+03 |-6.494132e+03 |  11.74%| unknown
  232s|  9500 |  9501 |249600 |  26.1 |    85M |  32 |1400 | 201 |1049 | 168k|  5 |   0 |   0 |-7.256624e+03 |-6.494132e+03 |  11.74%| unknown
  235s|  9600 |  9601 |252887 |  26.2 |    86M |  32 |1400 | 201 |1209 | 170k|  7 |   0 |   0 |-7.255603e+03 |-6.494132e+03 |  11.73%| unknown
  237s|  9700 |  9701 |255850 |  26.2 |    86M |  33 |1400 | 201 |1137 | 172k|  8 |   0 |   0 |-7.255323e+03 |-6.494132e+03 |  11.72%| unknown
  239s|  9800 |  9801 |258275 |  26.2 |    86M |  33 |1400 | 201 |1234 | 174k| 15 |   0 |   0 |-7.255323e+03 |-6.494132e+03 |  11.72%| unknown
  242s|  9900 |  9901 |260763 |  26.2 |    87M |  33 |1400 | 201 |1137 | 175k|  6 |   0 |   0 |-7.255323e+03 |-6.494132e+03 |  11.72%| unknown
  244s| 10000 | 10001 |262980 |  26.1 |    87M |  33 |1400 | 201 |1122 | 177k|  3 |   0 |   0 |-7.255323e+03 |-6.494132e+03 |  11.72%| unknown
  247s| 10100 | 10101 |265397 |  26.1 |    87M |  33 |1400 | 201 |1161 | 179k|  3 |   0 |   0 |-7.255323e+03 |-6.494132e+03 |  11.72%| unknown
  249s| 10200 | 10201 |268783 |  26.2 |    88M |  33 |1400 | 201 |1116 | 181k|  3 |   0 |   0 |-7.254853e+03 |-6.494132e+03 |  11.71%| unknown
